UniProt,GeneName,Group,FullName
Q8WYH8,ING5,Non-kinase,Inhibitor of growth family member 5
Q8NBZ0,INO80E,Non-kinase,Ino80 complex subunit e
O15357,INPPL1,Non-kinase,Inositol polyphosphate phosphatase like 1
O15503,INSIG1,Non-kinase,Insulin induced gene 1
P06213,INSR,TK,Insulin receptor
Q9Y283,INVS,Non-kinase,Inversin
Q9UHH9,IP6K2,Non-kinase,Inositol hexakisphosphate kinase 2
P46940,IQGAP1,Non-kinase,Iq motif containing gtpase activating protein 1
Q13576,IQGAP2,Non-kinase,Iq motif containing gtpase activating protein 2
Q9Y6F6,IRAG1,Non-kinase,"Inositol 1,4,5-triphosphate receptor associated 1"
P51617,IRAK1,TKL,Interleukin 1 receptor associated kinase 1
Q9NWZ3,IRAK4,TKL,Interleukin 1 receptor associated kinase 4
P48200,IREB2,Non-kinase,Iron responsive element binding protein 2
P10914,IRF1,Non-kinase,Interferon regulatory factor 1
Q14653,IRF3,Non-kinase,Interferon regulatory factor 3
Q13568,IRF5,Non-kinase,Interferon regulatory factor 5
Q92985,IRF7,Non-kinase,Interferon regulatory factor 7
P35568,IRS1,Non-kinase,Insulin receptor substrate 1
Q9Y4H2,IRS2,Non-kinase,Insulin receptor substrate 2
O14654,IRS4,Non-kinase,Insulin receptor substrate 4
Q9H1K1,ISCU,Non-kinase,Iron-sulfur cluster assembly enzyme
P61371,ISL1,Non-kinase,Isl lim homeobox 1
Q2M1V0,ISX,Non-kinase,Intestine specific homeobox
Q96J02,ITCH,Non-kinase,Itchy e3 ubiquitin protein ligase
P17301,ITGA2,Non-kinase,Integrin subunit alpha 2
P13612,ITGA4,Non-kinase,Integrin subunit alpha 4
P05556,ITGB1,Non-kinase,Integrin subunit beta 1
O14713,ITGB1BP1,Non-kinase,Integrin subunit beta 1 binding protein 1
P05107,ITGB2,Non-kinase,Integrin subunit beta 2
P05106,ITGB3,Non-kinase,Integrin subunit beta 3
Q13352,ITGB3BP,Non-kinase,Integrin subunit beta 3 binding protein
P16144,ITGB4,Non-kinase,Integrin subunit beta 4
P18084,ITGB5,Non-kinase,Integrin subunit beta 5
P26010,ITGB7,Non-kinase,Integrin subunit beta 7
Q08881,ITK,TK,Il2 inducible t cell kinase
O43736,ITM2A,Non-kinase,Integral membrane protein 2a
P23677,ITPKA,Non-kinase,Inositol-trisphosphate 3-kinase a
P27987,ITPKB,Non-kinase,Inositol-trisphosphate 3-kinase b
Q14643,ITPR1,Non-kinase,"Inositol 1,4,5-trisphosphate receptor type 1"
Q96ST2,IWS1,Non-kinase,"Interacts with supt6h, ctd assembly factor 1"
Q6IE81,JADE1,Non-kinase,Jade family phd finger 1
P23458,JAK1,TK,Janus kinase 1
O60674,JAK2,TK,Janus kinase 2
P52333,JAK3,TK,Janus kinase 3
Q8WYK2,JDP2,Non-kinase,Jun dimerization protein 2
Q9BR39,JPH2,Non-kinase,Junctophilin 2
Q9H910,JPT2,Non-kinase,Jupiter microtubule associated homolog 2
P05412,JUN,Non-kinase,"Jun proto-oncogene, ap-1 transcription factor subunit"
P17275,JUNB,Non-kinase,"Junb proto-oncogene, ap-1 transcription factor subunit"
P17535,JUND,Non-kinase,"Jund proto-oncogene, ap-1 transcription factor subunit"
P14923,JUP,Non-kinase,Junction plakoglobin
O60229,KALRN,CAMK,Kalirin rhogef kinase
Q15046,KARS1,Non-kinase,Lysyl-trna synthetase 1
Q92830,KAT2A,Non-kinase,Lysine acetyltransferase 2a
Q92831,KAT2B,Non-kinase,Lysine acetyltransferase 2b
Q92993,KAT5,Non-kinase,Lysine acetyltransferase 5
Q92794,KAT6A,Non-kinase,Lysine acetyltransferase 6a
O95251,KAT7,Non-kinase,Lysine acetyltransferase 7
Q9H7Z6,KAT8,Non-kinase,Lysine acetyltransferase 8
O75449,KATNA1,Non-kinase,Katanin catalytic subunit a1
Q09470,KCNA1,Non-kinase,Potassium voltage-gated channel subfamily a member 1
P22001,KCNA3,Non-kinase,Potassium voltage-gated channel subfamily a member 3
P22459,KCNA4,Non-kinase,Potassium voltage-gated channel subfamily a member 4
P22460,KCNA5,Non-kinase,Potassium voltage-gated channel subfamily a member 5
Q13303,KCNAB2,Non-kinase,Potassium voltage-gated channel subfamily a regulatory beta subunit 2
Q14721,KCNB1,Non-kinase,Potassium voltage-gated channel subfamily b member 1
Q03721,KCNC4,Non-kinase,Potassium voltage-gated channel subfamily c member 4
Q9NSA2,KCND1,Non-kinase,Potassium voltage-gated channel subfamily d member 1
Q9NZV8,KCND2,Non-kinase,Potassium voltage-gated channel subfamily d member 2
Q9UK17,KCND3,Non-kinase,Potassium voltage-gated channel subfamily d member 3
P15382,KCNE1,Non-kinase,Potassium voltage-gated channel subfamily e regulatory subunit 1
Q9Y6H6,KCNE3,Non-kinase,Potassium voltage-gated channel subfamily e regulatory subunit 3
Q12809,KCNH2,Non-kinase,Potassium voltage-gated channel subfamily h member 2
Q9Y2W7,KCNIP3,Non-kinase,Potassium voltage-gated channel interacting protein 3
P48048,KCNJ1,Non-kinase,Potassium inwardly rectifying channel subfamily j member 1
P63252,KCNJ2,Non-kinase,Potassium inwardly rectifying channel subfamily j member 2
P48549,KCNJ3,Non-kinase,Potassium inwardly rectifying channel subfamily j member 3
P48050,KCNJ4,Non-kinase,Potassium inwardly rectifying channel subfamily j member 4
P48544,KCNJ5,Non-kinase,Potassium inwardly rectifying channel subfamily j member 5
Q14654,KCNJ11,Non-kinase,Potassium inwardly rectifying channel subfamily j member 11
Q14500,KCNJ12,Non-kinase,Potassium inwardly rectifying channel subfamily j member 12
O60928,KCNJ13,Non-kinase,Potassium inwardly rectifying channel subfamily j member 13
O14649,KCNK3,Non-kinase,Potassium two pore domain channel subfamily k member 3
Q9NPC2,KCNK9,Non-kinase,Potassium two pore domain channel subfamily k member 9
Q12791,KCNMA1,Non-kinase,Potassium calcium-activated channel subfamily m alpha 1
Q92952,KCNN1,Non-kinase,Potassium calcium-activated channel subfamily n member 1
Q9H2S1,KCNN2,Non-kinase,Potassium calcium-activated channel subfamily n member 2
O15554,KCNN4,Non-kinase,Potassium calcium-activated channel subfamily n member 4
P51787,KCNQ1,Non-kinase,Potassium voltage-gated channel subfamily q member 1
O43526,KCNQ2,Non-kinase,Potassium voltage-gated channel subfamily q member 2
Q9NR82,KCNQ5,Non-kinase,Potassium voltage-gated channel subfamily q member 5
Q96CX2,KCTD12,Non-kinase,Potassium channel tetramerization domain containing 12
P24390,KDELR1,Non-kinase,Kdel endoplasmic reticulum protein retention receptor 1
O60341,KDM1A,Non-kinase,Lysine demethylase 1a
Q9Y2K7,KDM2A,Non-kinase,Lysine demethylase 2a
Q9Y4C1,KDM3A,Non-kinase,Lysine demethylase 3a
O94953,KDM4B,Non-kinase,Lysine demethylase 4b
Q9H3R0,KDM4C,Non-kinase,Lysine demethylase 4c
P29375,KDM5A,Non-kinase,Lysine demethylase 5a
Q9UGL1,KDM5B,Non-kinase,Lysine demethylase 5b
P35968,KDR,TK,Kinase insert domain receptor
Q14145,KEAP1,Non-kinase,Kelch like ech associated protein 1
Q587J8,KHDC3L,Non-kinase,"Kh domain containing 3 like, subcortical maternal complex member"
Q07666,KHDRBS1,Non-kinase,"Kh rna binding domain containing, signal transduction associated 1"
Q92945,KHSRP,Non-kinase,Kh-type splicing regulatory protein
Q9ULH0,KIDINS220,Non-kinase,Kinase d interacting substrate 220
O43896,KIF1C,Non-kinase,Kinesin family member 1c
O00139,KIF2A,Non-kinase,Kinesin family member 2a
Q8N4N8,KIF2B,Non-kinase,Kinesin family member 2b
Q99661,KIF2C,Non-kinase,Kinesin family member 2c
Q9Y496,KIF3A,Non-kinase,Kinesin family member 3a
O95239,KIF4A,Non-kinase,Kinesin family member 4a
P52732,KIF11,Non-kinase,Kinesin family member 11
Q9NQT8,KIF13B,Non-kinase,Kinesin family member 13b
Q15058,KIF14,Non-kinase,Kinesin family member 14
O95235,KIF20A,Non-kinase,Kinesin family member 20a
Q96Q89,KIF20B,Non-kinase,Kinesin family member 20b
Q14807,KIF22,Non-kinase,Kinesin family member 22
Q02241,KIF23,Non-kinase,Kinesin family member 23
Q9BW19,KIFC1,Non-kinase,Kinesin family member c1
P43629,KIR3DL1,Non-kinase,"Killer cell immunoglobulin like receptor, three ig domains and long cytoplasmic tail 1"
P10721,KIT,TK,"Kit proto-oncogene, receptor tyrosine kinase"
Q2M2Z5,KIZ,Non-kinase,Kizuna centrosomal protein
Q07866,KLC1,Non-kinase,Kinesin light chain 1
Q9H0B6,KLC2,Non-kinase,Kinesin light chain 2
Q9NSK0,KLC4,Non-kinase,Kinesin light chain 4
Q13351,KLF1,Non-kinase,Klf transcription factor 1
P57682,KLF3,Non-kinase,Klf transcription factor 3
O43474,KLF4,Non-kinase,Klf transcription factor 4
Q13887,KLF5,Non-kinase,Klf transcription factor 5
O95600,KLF8,Non-kinase,Klf transcription factor 8
Q13118,KLF10,Non-kinase,Klf transcription factor 10
Q9BXK1,KLF16,Non-kinase,Klf transcription factor 16
Q9UH77,KLHL3,Non-kinase,Kelch like family member 3
Q03164,KMT2A,Non-kinase,Lysine methyltransferase 2a
O14686,KMT2D,Non-kinase,Lysine methyltransferase 2d
Q8IZD2,KMT2E,Non-kinase,Lysine methyltransferase 2e (inactive)
Q9NQR1,KMT5A,Non-kinase,Lysine methyltransferase 5a
Q8NG31,KNL1,Non-kinase,Kinetochore scaffold 1
Q9Y448,KNSTRN,Non-kinase,Kinetochore localized astrin (spag5) binding protein
P52294,KPNA1,Non-kinase,Karyopherin subunit alpha 1
P52292,KPNA2,Non-kinase,Karyopherin subunit alpha 2
P01116,KRAS,Non-kinase,"Kras proto-oncogene, gtpase"
P05787,KRT8,Non-kinase,Keratin 8
P05783,KRT18,Non-kinase,Keratin 18
P08727,KRT19,Non-kinase,Keratin 19
P35900,KRT20,Non-kinase,Keratin 20
Q8IVT5,KSR1,TKL,Kinase suppressor of ras 1
P32004,L1CAM,Non-kinase,L1 cell adhesion molecule
Q969R5,L3MBTL2,Non-kinase,L3mbtl histone methyl-lysine binding protein 2
P11047,LAMC1,Non-kinase,Laminin subunit gamma 1
P13473,LAMP2,Non-kinase,Lysosomal associated membrane protein 2
Q0VGL1,LAMTOR4,Non-kinase,"Late endosomal/lysosomal adaptor, mapk and mtor activator 4"
O43504,LAMTOR5,Non-kinase,"Late endosomal/lysosomal adaptor, mapk and mtor activator 5"
Q6PKG0,LARP1,Non-kinase,"La ribonucleoprotein 1, translational regulator"
Q9BRS8,LARP6,Non-kinase,"La ribonucleoprotein 6, translational regulator"
Q4G0J3,LARP7,Non-kinase,"La ribonucleoprotein 7, transcriptional regulator"
Q9P2J5,LARS1,Non-kinase,Leucyl-trna synthetase 1
Q14847,LASP1,Non-kinase,Lim and sh3 protein 1
O43561,LAT,Non-kinase,Linker for activation of t cells
Q9GZY6,LAT2,Non-kinase,Linker for activation of t cells family member 2
O95835,LATS1,AGC,Large tumor suppressor kinase 1
Q9NRM7,LATS2,AGC,Large tumor suppressor kinase 2
Q8IWV1,LAX1,Non-kinase,Lymphocyte transmembrane adaptor 1
Q14739,LBR,Non-kinase,Lamin b receptor
P06239,LCK,TK,"Lck proto-oncogene, src family tyrosine kinase"
P13796,LCP1,Non-kinase,Lymphocyte cytosolic protein 1
Q13094,LCP2,Non-kinase,Lymphocyte cytosolic protein 2
P00338,LDHA,Non-kinase,Lactate dehydrogenase a
P07195,LDHB,Non-kinase,Lactate dehydrogenase b
Q9UJU2,LEF1,Non-kinase,Lymphoid enhancer binding factor 1
O95202,LETM1,Non-kinase,Leucine zipper and ef-hand containing transmembrane protein 1
P17931,LGALS3,Non-kinase,Galectin 3
Q99538,LGMN,Non-kinase,Legumain
P42702,LIFR,Non-kinase,Lif receptor subunit alpha
P18858,LIG1,Non-kinase,Dna ligase 1
P49916,LIG3,Non-kinase,Dna ligase 3
P49917,LIG4,Non-kinase,Dna ligase 4
Q9UHB6,LIMA1,Non-kinase,Lim domain and actin binding 1
Q9UGP4,LIMD1,Non-kinase,Lim domain containing 1
P53667,LIMK1,TKL,Lim domain kinase 1
P53671,LIMK2,TKL,Lim domain kinase 2
Q5TKA1,LIN9,Non-kinase,Lin-9 dream muvb core complex component
Q9H9Z2,LIN28A,Non-kinase,Lin-28 homolog a
Q6ZN17,LIN28B,Non-kinase,Lin-28 homolog b
Q52LA3,LIN52,Non-kinase,Lin-52 dream muvb core complex component
Q05469,LIPE,Non-kinase,"Lipase e, hormone sensitive type"
Q15334,LLGL1,Non-kinase,Llgl scribble cell polarity complex component 1
P02545,LMNA,Non-kinase,Lamin a/c
P20700,LMNB1,Non-kinase,Lamin b1
Q03252,LMNB2,Non-kinase,Lamin b2
Q8WWI1,LMO7,Non-kinase,Lim domain 7
Q8IWU2,LMTK2,TK,Lemur tyrosine kinase 2
P36776,LONP1,Non-kinase,"Lon peptidase 1, mitochondrial"
Q14693,LPIN1,Non-kinase,Lipin 1
Q93052,LPP,Non-kinase,Lim domain containing preferred translocation partner in lipoma
O60711,LPXN,Non-kinase,Leupaxin
Q96II8,LRCH3,Non-kinase,Leucine rich repeats and calponin homology domain containing 3
Q07954,LRP1,Non-kinase,Ldl receptor related protein 1
O75581,LRP6,Non-kinase,Ldl receptor related protein 6
Q9HCJ2,LRRC4C,Non-kinase,Leucine rich repeat containing 4c
Q96NW7,LRRC7,Non-kinase,Leucine rich repeat containing 7
Q8IWT6,LRRC8A,Non-kinase,Leucine rich repeat containing 8 vrac subunit a
Q96CN5,LRRC45,Non-kinase,Leucine rich repeat containing 45
Q38SD2,LRRK1,TKL,Leucine rich repeat kinase 1
Q5S007,LRRK2,TKL,Leucine rich repeat kinase 2
Q9UFC0,LRWD1,Non-kinase,Leucine rich repeats and wd repeat domain containing 1
P33241,LSP1,Non-kinase,Lymphocyte specific protein 1
Q15722,LTB4R,Non-kinase,Leukotriene b4 receptor
Q9NPC1,LTB4R2,Non-kinase,Leukotriene b4 receptor 2
Q16873,LTC4S,Non-kinase,Leukotriene c4 synthase
P29376,LTK,TK,Leukocyte receptor tyrosine kinase
Q9Y6Y9,LY96,Non-kinase,Lymphocyte antigen 96
P12980,LYL1,Non-kinase,Lyl1 basic helix-loop-helix family member
P07948,LYN,TK,"Lyn proto-oncogene, src family tyrosine kinase"
Q9BRK4,LZTS2,Non-kinase,Leucine zipper tumor suppressor 2
Q6ZN28,MACC1,Non-kinase,Met transcriptional regulator macc1
Q9UPN3,MACF1,Non-kinase,Microtubule actin crosslinking factor 1
Q9Y6D9,MAD1L1,Non-kinase,Mitotic arrest deficient 1 like 1
Q13257,MAD2L1,Non-kinase,Mitotic arrest deficient 2 like 1
Q15013,MAD2L1BP,Non-kinase,Mad2l1 binding protein
Q9H063,MAF1,Non-kinase,"Maf1 homolog, negative regulator of rna polymerase iii"
Q8NHW3,MAFA,Non-kinase,Maf bzip transcription factor a
O15525,MAFG,Non-kinase,Maf bzip transcription factor g
P20916,MAG,Non-kinase,Myelin associated glycoprotein
P43364,MAGEA11,Non-kinase,Mage family member a11
Q96QZ7,MAGI1,Non-kinase,"Membrane associated guanylate kinase, ww and pdz domain containing 1"
P20794,MAK,CMGC,Male germ cell associated kinase
Q9UDY8,MALT1,Non-kinase,Malt1 paracaspase
P21397,MAOA,Non-kinase,Monoamine oxidase a
P78559,MAP1A,Non-kinase,Microtubule associated protein 1a
Q9H492,MAP1LC3A,Non-kinase,Microtubule associated protein 1 light chain 3 alpha
Q9GZQ8,MAP1LC3B,Non-kinase,Microtubule associated protein 1 light chain 3 beta
Q9BXW4,MAP1LC3C,Non-kinase,Microtubule associated protein 1 light chain 3 gamma
Q66K74,MAP1S,Non-kinase,Microtubule associated protein 1s
P11137,MAP2,Non-kinase,Microtubule associated protein 2
Q02750,MAP2K1,STE,Mitogen-activated protein kinase kinase 1
P36507,MAP2K2,STE,Mitogen-activated protein kinase kinase 2
P46734,MAP2K3,STE,Mitogen-activated protein kinase kinase 3
P45985,MAP2K4,STE,Mitogen-activated protein kinase kinase 4
Q13163,MAP2K5,STE,Mitogen-activated protein kinase kinase 5
P52564,MAP2K6,STE,Mitogen-activated protein kinase kinase 6
O14733,MAP2K7,STE,Mitogen-activated protein kinase kinase 7
Q13233,MAP3K1,STE,Mitogen-activated protein kinase kinase kinase 1
Q9Y2U5,MAP3K2,STE,Mitogen-activated protein kinase kinase kinase 2
Q99759,MAP3K3,STE,Mitogen-activated protein kinase kinase kinase 3
Q9Y6R4,MAP3K4,STE,Mitogen-activated protein kinase kinase kinase 4
Q99683,MAP3K5,STE,Mitogen-activated protein kinase kinase kinase 5
O95382,MAP3K6,STE,Mitogen-activated protein kinase kinase kinase 6
O43318,MAP3K7,TKL,Mitogen-activated protein kinase kinase kinase 7
P41279,MAP3K8,STE,Mitogen-activated protein kinase kinase kinase 8
P80192,MAP3K9,TKL,Mitogen-activated protein kinase kinase kinase 9
Q02779,MAP3K10,TKL,Mitogen-activated protein kinase kinase kinase 10
Q16584,MAP3K11,TKL,Mitogen-activated protein kinase kinase kinase 11
Q12852,MAP3K12,TKL,Mitogen-activated protein kinase kinase kinase 12
O43283,MAP3K13,TKL,Mitogen-activated protein kinase kinase kinase 13
Q99558,MAP3K14,STE,Mitogen-activated protein kinase kinase kinase 14
Q9NYL2,MAP3K20,TKL,Mitogen-activated protein kinase kinase kinase 20
Q5TCX8,MAP3K21,TKL,Mitogen-activated protein kinase kinase kinase 21
P27816,MAP4,Non-kinase,Microtubule associated protein 4
Q92918,MAP4K1,STE,Mitogen-activated protein kinase kinase kinase kinase 1
Q12851,MAP4K2,STE,Mitogen-activated protein kinase kinase kinase kinase 2
Q8IVH8,MAP4K3,STE,Mitogen-activated protein kinase kinase kinase kinase 3
O95819,MAP4K4,STE,Mitogen-activated protein kinase kinase kinase kinase 4
Q9Y4K4,MAP4K5,STE,Mitogen-activated protein kinase kinase kinase kinase 5
Q14244,MAP7,Non-kinase,Microtubule associated protein 7
Q49MG5,MAP9,Non-kinase,Microtubule associated protein 9
P28482,MAPK1,CMGC,Mitogen-activated protein kinase 1
P27361,MAPK3,CMGC,Mitogen-activated protein kinase 3
P31152,MAPK4,CMGC,Mitogen-activated protein kinase 4
Q16659,MAPK6,CMGC,Mitogen-activated protein kinase 6
Q13164,MAPK7,CMGC,Mitogen-activated protein kinase 7
P45983,MAPK8,CMGC,Mitogen-activated protein kinase 8
Q9UQF2,MAPK8IP1,Non-kinase,Mitogen-activated protein kinase 8 interacting protein 1
Q9UPT6,MAPK8IP3,Non-kinase,Mitogen-activated protein kinase 8 interacting protein 3
P45984,MAPK9,CMGC,Mitogen-activated protein kinase 9
P53779,MAPK10,CMGC,Mitogen-activated protein kinase 10
Q15759,MAPK11,CMGC,Mitogen-activated protein kinase 11
P53778,MAPK12,CMGC,Mitogen-activated protein kinase 12
O15264,MAPK13,CMGC,Mitogen-activated protein kinase 13
Q16539,MAPK14,CMGC,Mitogen-activated protein kinase 14
Q8TD08,MAPK15,CMGC,Mitogen-activated protein kinase 15
Q9BPZ7,MAPKAP1,Non-kinase,Mapk associated protein 1
P49137,MAPKAPK2,CAMK,Mapk activated protein kinase 2
Q16644,MAPKAPK3,CAMK,Mapk activated protein kinase 3
Q8IW41,MAPKAPK5,CAMK,Mapk activated protein kinase 5
Q15691,MAPRE1,Non-kinase,Microtubule associated protein rp/eb family member 1
Q15555,MAPRE2,Non-kinase,Microtubule associated protein rp/eb family member 2
Q9UPY8,MAPRE3,Non-kinase,Microtubule associated protein rp/eb family member 3
P10636,MAPT,Non-kinase,Microtubule associated protein tau
P29966,MARCKS,Non-kinase,Myristoylated alanine rich protein kinase c substrate
P49006,MARCKSL1,Non-kinase,Marcks like 1
Q9P0L2,MARK1,CAMK,Microtubule affinity regulating kinase 1
Q7KZI7,MARK2,CAMK,Microtubule affinity regulating kinase 2
P27448,MARK3,CAMK,Microtubule affinity regulating kinase 3
Q96L34,MARK4,CAMK,Microtubule affinity regulating kinase 4
P56192,MARS1,Non-kinase,Methionyl-trna synthetase 1
O60307,MAST3,AGC,Microtubule associated serine/threonine kinase 3
Q96GX5,MASTL,AGC,Microtubule associated serine/threonine kinase like
Q00266,MAT1A,Non-kinase,Methionine adenosyltransferase 1a
P42679,MATK,TK,Megakaryocyte-associated tyrosine kinase
P43243,MATR3,Non-kinase,Matrin 3
Q7Z434,MAVS,Non-kinase,Mitochondrial antiviral signaling protein
P61244,MAX,Non-kinase,Myc associated factor x
P56270,MAZ,Non-kinase,Myc associated zinc finger protein
O95983,MBD3,Non-kinase,Methyl-cpg binding domain protein 3
O95243,MBD4,Non-kinase,"Methyl-cpg binding domain 4, dna glycosylase"
P02686,MBP,Non-kinase,Myelin basic protein
P32245,MC4R,Non-kinase,Melanocortin 4 receptor
P23508,MCC,Non-kinase,Mcc regulator of wnt signaling pathway
Q07820,MCL1,Non-kinase,"Mcl1 apoptosis regulator, bcl2 family member"
P49736,MCM2,Non-kinase,Minichromosome maintenance complex component 2
P25205,MCM3,Non-kinase,Minichromosome maintenance complex component 3
P33991,MCM4,Non-kinase,Minichromosome maintenance complex component 4
P33992,MCM5,Non-kinase,Minichromosome maintenance complex component 5
P33993,MCM7,Non-kinase,Minichromosome maintenance complex component 7
Q9GZU1,MCOLN1,Non-kinase,Mucolipin trp cation channel 1
Q8NEM0,MCPH1,Non-kinase,Microcephalin 1
C9JLW8,MCRIP1,Non-kinase,Mapk regulated corepressor interacting protein 1
Q96EZ8,MCRS1,Non-kinase,Microspherule protein 1
Q9ULC4,MCTS1,Non-kinase,Mcts1 re-initiation and release factor
Q8NE86,MCU,Non-kinase,Mitochondrial calcium uniporter
Q14676,MDC1,Non-kinase,Mediator of dna damage checkpoint 1
Q00987,MDM2,Non-kinase,Mdm2 proto-oncogene
O15151,MDM4,Non-kinase,Mdm4 regulator of p53
P48163,ME1,Non-kinase,Malic enzyme 1
Q03112,MECOM,Non-kinase,Mds1 and evi1 complex locus
P51608,MECP2,Non-kinase,Methyl-cpg binding protein 2
Q15648,MED1,Non-kinase,Mediator complex subunit 1
O60244,MED14,Non-kinase,Mediator complex subunit 14
Q9H204,MED28,Non-kinase,Mediator complex subunit 28
Q02078,MEF2A,Non-kinase,Myocyte enhancer factor 2a
Q02080,MEF2B,Non-kinase,Myocyte enhancer factor 2b
Q06413,MEF2C,Non-kinase,Myocyte enhancer factor 2c
Q14814,MEF2D,Non-kinase,Myocyte enhancer factor 2d
O15553,MEFV,Non-kinase,"Mefv innate immunity regulator, pyrin"
Q96KG7,MEGF10,Non-kinase,Multiple egf like domains 10
Q14680,MELK,CAMK,Maternal embryonic leucine zipper kinase
O00255,MEN1,Non-kinase,Menin 1
Q16820,MEP1B,Non-kinase,Meprin a subunit beta
Q12866,MERTK,TK,"Mer proto-oncogene, tyrosine kinase"
P08581,MET,TK,"Met proto-oncogene, receptor tyrosine kinase"
Q9UBP6,METTL1,Non-kinase,"Methyltransferase 1, trna methylguanosine"
Q86U44,METTL3,Non-kinase,"Methyltransferase 3, n6-adenosine-methyltransferase complex catalytic subunit"
P55081,MFAP1,Non-kinase,Microfibril associated protein 1
Q9GZY8,MFF,Non-kinase,Mitochondrial fission factor
O95140,MFN2,Non-kinase,Mitofusin 2
O94851,MICAL2,Non-kinase,"Microtubule associated monooxygenase, calponin and lim domain containing 2"
Q8N3F8,MICALL1,Non-kinase,Mical like 1
Q5JXC2,MIIP,Non-kinase,Migration and invasion inhibitory protein
Q8N4C8,MINK1,STE,Misshapen like kinase 1
P30301,MIP,Non-kinase,Major intrinsic protein of lens fiber
Q9NYP9,MIS18A,Non-kinase,Mis18 kinetochore protein a
Q8IVT2,MISP,Non-kinase,Mitotic spindle positioning
O75030,MITF,Non-kinase,Melanocyte inducing transcription factor
P46013,MKI67,Non-kinase,Marker of proliferation ki-67
Q9BUB5,MKNK1,CAMK,Mapk interacting serine/threonine kinase 1
Q9HBH9,MKNK2,CAMK,Mapk interacting serine/threonine kinase 2
P40692,MLH1,Non-kinase,Mutl homolog 1
Q8NB16,MLKL,TKL,Mixed lineage kinase domain like pseudokinase
Q03111,MLLT1,Non-kinase,Mllt1 super elongation complex subunit
Q9NP71,MLXIPL,Non-kinase,Mlx interacting protein like
P08473,MME,Non-kinase,Membrane metalloendopeptidase
P08253,MMP2,Non-kinase,Matrix metallopeptidase 2
P50281,MMP14,Non-kinase,Matrix metallopeptidase 14
Q9H8S9,MOB1A,Non-kinase,Mob kinase activator 1a
Q7L9L4,MOB1B,Non-kinase,Mob kinase activator 1b
Q9Y6X9,MORC2,Non-kinase,Morc family cw-type zinc finger 2
P00540,MOS,Other,"Mos proto-oncogene, serine/threonine kinase"
O00566,MPHOSPH10,Non-kinase,M-phase phosphoprotein 10
Q8TAP9,MPLKIP,Non-kinase,M-phase specific plk1 interacting protein
O95297,MPZL1,Non-kinase,Myelin protein zero like 1
P49959,MRE11,Non-kinase,"Mre11 homolog, double strand break repair nuclease"
Q9Y676,MRPS18B,Non-kinase,Mitochondrial ribosomal protein s18b
Q969V6,MRTFA,Non-kinase,Myocardin related transcription factor a
Q9UKD2,MRTO4,Non-kinase,"Mrt4 homolog, ribosome maturation factor"
P11836,MS4A1,Non-kinase,Membrane spanning 4-domains a1
P26038,MSN,Non-kinase,Moesin
Q04912,MST1R,TK,Macrophage stimulating 1 receptor
P35548,MSX2,Non-kinase,Msh homeobox 2
Q13330,MTA1,Non-kinase,Metastasis associated 1
O94776,MTA2,Non-kinase,Metastasis associated 1 family member 2
Q14872,MTF1,Non-kinase,Metal regulatory transcription factor 1
Q6UB35,MTHFD1L,Non-kinase,Methylenetetrahydrofolate dehydrogenase (nadp+ dependent) 1 like
P42898,MTHFR,Non-kinase,Methylenetetrahydrofolate reductase
Q13614,MTMR2,Non-kinase,Myotubularin related protein 2
P42345,MTOR,Atypical,Mechanistic target of rapamycin kinase
O43312,MTSS1,Non-kinase,Mtss i-bar domain containing 1
Q8N3F0,MTURN,Non-kinase,"Maturin, neural progenitor differentiation regulator homolog"
P15941,MUC1,Non-kinase,"Mucin 1, cell surface associated"
Q96NY9,MUS81,Non-kinase,Mus81 structure-specific endonuclease subunit
P53602,MVD,Non-kinase,Mevalonate diphosphate decarboxylase
Q05195,MXD1,Non-kinase,Max dimerization protein 1
P10242,MYB,Non-kinase,"Myb proto-oncogene, transcription factor"
Q9BQG0,MYBBP1A,Non-kinase,Myb binding protein 1a
P10243,MYBL1,Non-kinase,Myb proto-oncogene like 1
P10244,MYBL2,Non-kinase,Myb proto-oncogene like 2
Q14896,MYBPC3,Non-kinase,Myosin binding protein c3
P01106,MYC,Non-kinase,"Myc proto-oncogene, bhlh transcription factor"
O75592,MYCBP2,Non-kinase,Myc binding protein 2
P12524,MYCL,Non-kinase,"Mycl proto-oncogene, bhlh transcription factor"
P04198,MYCN,Non-kinase,"Mycn proto-oncogene, bhlh transcription factor"
P13349,MYF5,Non-kinase,Myogenic factor 5
Q9UKX2,MYH2,Non-kinase,Myosin heavy chain 2
P35579,MYH9,Non-kinase,Myosin heavy chain 9
P35580,MYH10,Non-kinase,Myosin heavy chain 10
P10916,MYL2,Non-kinase,Myosin light chain 2
P24844,MYL9,Non-kinase,Myosin light chain 9
P19105,MYL12A,Non-kinase,Myosin light chain 12a
O14950,MYL12B,Non-kinase,Myosin light chain 12b
Q15746,MYLK,CAMK,Myosin light chain kinase
Q9H1R3,MYLK2,CAMK,Myosin light chain kinase 2
Q32MK0,MYLK3,CAMK,Myosin light chain kinase 3
Q8NEV4,MYO3A,STE,Myosin iiia
Q9UM54,MYO6,Non-kinase,Myosin vi
Q8IZQ8,MYOCD,Non-kinase,Myocardin
P15172,MYOD1,Non-kinase,Myogenic differentiation 1
P54296,MYOM2,Non-kinase,Myomesin 2
